0,2,2,1,4,0,3,1,3,1,false
0,1,0,-2,1,1,-1,3,-2,2,true
0,1,2,0,3,-1,1,1,2,2,false
0,-1,-1,-2,-2,0,-3,1,-3,1,false
0,2,1,-2,3,1,0,4,-1,3,false
0,2,-1,-2,1,3,0,4,-3,1,false
0,1,0,-1,1,1,0,2,-1,1,true
0,1,1,-2,2,0,-1,3,-1,3,false
0,1,0,2,1,1,3,-1,2,-2,true
0,2,1,2,3,1,4,0,3,-1,?
0,2,1,0,3,1,2,2,1,1,false
0,1,0,1,1,1,2,0,1,-1,true
0,2,1,1,3,1,3,1,2,0,?
0,2,-2,-1,0,4,1,3,-3,-1,false
0,2,-1,1,1,3,3,1,0,-2,false
0,0,-2,0,-2,2,0,0,-2,-2,?
0,1,-1,0,0,2,1,1,-1,-1,?
0,1,1,1,2,0,2,0,2,0,?
0,1,-1,-2,0,2,-1,3,-3,1,false
0,1,1,2,2,0,3,-1,3,-1,?
0,2,2,2,4,0,4,0,4,0,?
0,1,0,-5,1,1,-4,6,-5,5,true
0,5,4,3,9,1,8,2,7,1,false
0,-1,0,-1,-1,-1,-2,0,-1,1,?
0,0,1,-1,1,-1,-1,1,0,2,?
0,5,3,4,8,2,9,1,7,-1,false
0,0,0,0,0,0,0,0,0,0,?
0,1,1,0,2,0,1,1,1,1,?
0,3,1,2,4,2,5,1,3,-1,false
0,0,-1,-2,-1,1,-2,2,-3,1,false
