0,101,-24,77,125,false
0,0,-2,-2,2,true
0,50,649,699,-599,?
0,51,176,227,-125,?
0,75,-63,12,138,?
0,76,-665,-589,741,?
0,24,968,992,-944,?
0,25,577,602,-552,?
0,11,-887,-876,898,?
0,12,-241,-229,253,?
0,37,-796,-759,833,?
0,38,-184,-146,222,?
0,5,10,15,-5,?
0,6,10,16,-4,?
0,17,-409,-392,426,?
0,18,-186,-168,204,?
0,2,5,7,-3,?
0,3,-5,-2,8,?
0,8,10,18,-2,?
0,9,-10,-1,19,?
0,0,2,2,-2,?
0,1,2,3,-1,?
0,2,-2,0,4,?
0,4,-5,-1,9,?
0,0,0,0,0,true
0,88,801,889,-713,?
0,89,-63,26,152,?
0,62,-661,-599,723,?
0,63,695,758,-632,?
0,94,313,407,-219,?
0,95,654,749,-559,?
0,81,779,860,-698,?
0,82,-975,-893,1057,?
0,97,539,636,-442,?
0,98,-216,-118,314,?
0,91,-641,-550,732,?
0,92,297,389,-205,?
0,99,-219,-120,318,?
0,100,806,906,-706,?
0,95,-892,-797,987,?
0,96,-358,-262,454,?
