0,-1,0,1,-2,1,-10,-10,3,-6,-1,-3,9,2,0,4,-2,false
0,-1,0,-2,-4,-2,2,0,-4,0,-1,-1,4,-4,2,-2,0,true
0,0,3,-3,2,2,-2,-10,1,-7,0,-5,1,-5,3,-8,-3,?
0,-2,5,-1,-5,2,0,-9,-1,-2,0,2,3,-2,0,-3,-4,?
0,2,2,0,-5,-4,0,-4,0,-3,-3,-3,-1,5,-2,-3,-1,?
0,-3,1,-1,0,0,-2,0,-1,-7,4,-1,4,5,5,-9,-4,false
0,-4,0,-2,-4,2,-5,-4,2,-1,4,0,-2,1,1,-9,-4,?
0,-2,1,-1,-3,-4,-8,-2,4,-8,2,-3,5,1,-1,-9,-5,false
0,-5,5,0,-3,-4,2,-8,-2,-5,-4,-4,0,0,0,-6,-2,false
0,2,3,-3,1,0,-2,0,3,-6,-5,2,-2,2,2,4,-4,?
0,2,5,2,-1,-1,-3,-2,0,-7,0,2,2,5,-2,4,-3,false
0,-3,3,-3,0,-1,1,-1,-4,-1,-3,-4,7,1,4,-8,-3,true
0,-5,1,-3,-1,2,-4,-7,-2,-6,-6,-5,1,-1,4,-3,-5,true
0,-1,1,1,-5,1,-2,-6,1,-8,1,-4,5,1,4,-2,-4,true
0,-5,3,-5,0,0,1,-7,3,-1,-4,-2,5,-3,1,-9,-2,false
0,2,4,2,1,0,-2,-1,4,-7,-2,-3,-1,-1,-1,-5,-2,true
0,-2,1,0,0,2,-7,-3,-1,-6,0,1,5,4,-1,-6,0,false
0,2,5,1,1,-2,-4,-10,-3,-7,1,-3,5,5,3,-2,-2,false
0,1,0,-1,0,-3,-8,-2,2,-8,-3,0,4,-1,1,4,-1,true
0,-2,2,2,-2,-1,-5,-1,3,-4,-1,1,1,1,-1,-9,-5,false
0,2,3,0,-3,-3,-5,-9,-2,-2,0,1,9,3,1,-8,0,false
0,0,0,0,-2,0,-8,-1,4,-4,0,-4,6,2,1,-4,0,true
0,-3,2,-4,-4,0,0,-5,2,-3,2,-5,1,-4,2,-1,-4,false
0,-1,4,0,2,-4,-8,-1,1,-2,-3,2,-1,-2,4,-9,-5,?
0,1,4,-3,1,-2,-4,-6,3,0,-3,1,0,5,-1,-4,-4,false
0,-3,2,2,-4,-2,1,-4,0,1,-6,-4,2,5,-2,-9,-1,true
0,0,0,-5,2,-2,-3,-4,-2,1,-1,-5,3,-4,-1,-4,-3,?
0,-5,0,0,-3,2,-1,-1,0,-4,3,2,4,4,1,-9,-5,false
0,0,1,-4,-1,0,-1,-1,-1,-8,3,-2,1,1,-2,-8,-4,?
0,-4,0,2,-2,-3,-5,-5,-2,-1,4,-5,7,-3,-1,-5,0,true
0,1,4,-2,-1,2,-9,-1,1,-5,2,-4,6,-2,0,-5,-1,?
0,-2,5,-5,-1,-4,-6,-7,1,1,3,2,10,2,1,-8,-2,?
0,-2,3,0,2,-3,-7,-8,-2,-2,4,-4,1,-2,2,2,-4,?
0,-4,3,-1,-3,1,-1,-1,1,-4,-6,-5,1,1,0,2,-5,true
0,-1,1,-3,-3,-2,2,-8,-3,0,-2,-3,2,1,2,-10,-4,false
0,0,5,1,-2,-2,0,-9,0,-3,-5,-3,3,-3,1,-5,-5,true
0,-2,4,1,0,-3,-8,-5,-3,-7,-3,0,3,5,-2,-6,-4,false
0,0,3,1,-2,2,2,-6,-4,-6,3,-4,8,-5,2,-1,-5,true
0,-2,0,-5,-4,1,-6,-9,4,-3,-6,-5,3,-1,2,-2,0,false
0,0,5,2,2,-1,-2,-5,1,0,-4,-5,0,4,3,0,0,?
